surface,method,noise,progress
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,21.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,22.0
HIP,CS²-GAD,0.15,23.0
HIP,CS²-GAD,0.15,23.0
HIP,CS²-GAD,0.15,23.0
HIP,CS²-GAD,0.15,23.0
HIP,CS²-GAD,0.15,23.0
HIP,CS²-GAD,0.15,23.0
HIP,CS²-GAD,0.15,23.0
HIP,CS²-GAD,0.15,23.0
HIP,CS²-GAD,0.15,23.0
HIP,CS²-GAD,0.15,23.0
HIP,CS²-GAD,0.15,23.0
HIP,CS²-GAD,0.15,23.0
HIP,CS²-GAD,0.15,23.0
HIP,CS²-GAD,0.15,24.0
HIP,CS²-GAD,0.15,24.0
HIP,CS²-GAD,0.15,24.0
HIP,CS²-GAD,0.15,24.0
HIP,CS²-GAD,0.15,24.0
HIP,CS²-GAD,0.15,24.0
HIP,CS²-GAD,0.15,24.0
HIP,CS²-GAD,0.15,25.0
HIP,CS²-GAD,0.15,25.0
HIP,CS²-GAD,0.15,25.0
HIP,CS²-GAD,0.15,26.0
HIP,CS²-GAD,0.15,26.0
HIP,CS²-GAD,0.15,26.0
HIP,CS²-GAD,0.15,26.0
HIP,CS²-GAD,0.15,26.0
HIP,CS²-GAD,0.15,27.0
HIP,CS²-GAD,0.15,27.0
HIP,CS²-GAD,0.15,27.0
HIP,CS²-GAD,0.15,27.0
HIP,CS²-GAD,0.15,28.0
HIP,CS²-GAD,0.15,29.0
HIP,CS²-GAD,0.15,29.0
HIP,CS²-GAD,0.15,30.0
HIP,CS²-GAD,0.15,31.0
HIP,CS²-GAD,0.15,32.0
HIP,CS²-GAD,0.15,32.0
HIP,CS²-GAD,0.15,33.0
HIP,CS²-GAD,0.15,33.0
HIP,CS²-GAD,0.15,35.0
HIP,CS²-GAD,0.15,36.0
HIP,CS²-GAD,0.15,38.0
HIP,CS²-GAD,0.15,42.0
HIP,CS²-GAD,0.15,51.0
HIP,CS²-GAD,0.15,52.0
HIP,CS²-GAD,0.15,54.0
HIP,CS²-GAD,0.15,57.0
HIP,CS²-GAD,0.15,73.0
HIP,CS²-GAD,0.15,86.0
HIP,CS²-GAD,0.15,114.0
HIP,CS²-GAD,0.15,114.0
HIP,CS²-GAD,0.2,17.0
HIP,CS²-GAD,0.2,17.0
HIP,CS²-GAD,0.2,18.0
HIP,CS²-GAD,0.2,19.0
HIP,CS²-GAD,0.2,19.0
HIP,CS²-GAD,0.2,19.0
HIP,CS²-GAD,0.2,19.0
HIP,CS²-GAD,0.2,20.0
HIP,CS²-GAD,0.2,20.0
HIP,CS²-GAD,0.2,20.0
HIP,CS²-GAD,0.2,20.0
HIP,CS²-GAD,0.2,20.0
HIP,CS²-GAD,0.2,20.0
HIP,CS²-GAD,0.2,20.0
HIP,CS²-GAD,0.2,20.0
HIP,CS²-GAD,0.2,21.0
HIP,CS²-GAD,0.2,21.0
HIP,CS²-GAD,0.2,21.0
HIP,CS²-GAD,0.2,21.0
HIP,CS²-GAD,0.2,21.0
HIP,CS²-GAD,0.2,21.0
HIP,CS²-GAD,0.2,21.0
HIP,CS²-GAD,0.2,22.0
HIP,CS²-GAD,0.2,22.0
HIP,CS²-GAD,0.2,22.0
HIP,CS²-GAD,0.2,22.0
HIP,CS²-GAD,0.2,22.0
HIP,CS²-GAD,0.2,23.0
HIP,CS²-GAD,0.2,23.0
HIP,CS²-GAD,0.2,23.0
HIP,CS²-GAD,0.2,23.0
HIP,CS²-GAD,0.2,23.0
HIP,CS²-GAD,0.2,23.0
HIP,CS²-GAD,0.2,23.0
HIP,CS²-GAD,0.2,23.0
HIP,CS²-GAD,0.2,24.0
HIP,CS²-GAD,0.2,24.0
HIP,CS²-GAD,0.2,24.0
HIP,CS²-GAD,0.2,24.0
HIP,CS²-GAD,0.2,24.0
HIP,CS²-GAD,0.2,24.0
HIP,CS²-GAD,0.2,25.0
HIP,CS²-GAD,0.2,25.0
HIP,CS²-GAD,0.2,25.0
HIP,CS²-GAD,0.2,25.0
HIP,CS²-GAD,0.2,25.0
HIP,CS²-GAD,0.2,25.0
HIP,CS²-GAD,0.2,26.0
HIP,CS²-GAD,0.2,26.0
HIP,CS²-GAD,0.2,26.0
HIP,CS²-GAD,0.2,26.0
HIP,CS²-GAD,0.2,26.0
HIP,CS²-GAD,0.2,26.0
HIP,CS²-GAD,0.2,26.0
HIP,CS²-GAD,0.2,27.0
HIP,CS²-GAD,0.2,27.0
HIP,CS²-GAD,0.2,27.0
HIP,CS²-GAD,0.2,27.0
HIP,CS²-GAD,0.2,27.0
HIP,CS²-GAD,0.2,27.0
HIP,CS²-GAD,0.2,28.0
HIP,CS²-GAD,0.2,28.0
HIP,CS²-GAD,0.2,28.0
HIP,CS²-GAD,0.2,28.0
HIP,CS²-GAD,0.2,28.0
HIP,CS²-GAD,0.2,28.0
HIP,CS²-GAD,0.2,28.0
HIP,CS²-GAD,0.2,29.0
HIP,CS²-GAD,0.2,29.0
HIP,CS²-GAD,0.2,29.0
HIP,CS²-GAD,0.2,29.0
HIP,CS²-GAD,0.2,29.0
HIP,CS²-GAD,0.2,29.0
HIP,CS²-GAD,0.2,29.0
HIP,CS²-GAD,0.2,29.0
HIP,CS²-GAD,0.2,30.0
HIP,CS²-GAD,0.2,30.0
HIP,CS²-GAD,0.2,30.0
HIP,CS²-GAD,0.2,31.0
HIP,CS²-GAD,0.2,31.0
HIP,CS²-GAD,0.2,31.0
HIP,CS²-GAD,0.2,32.0
HIP,CS²-GAD,0.2,33.0
HIP,CS²-GAD,0.2,33.0
HIP,CS²-GAD,0.2,34.0
HIP,CS²-GAD,0.2,34.0
HIP,CS²-GAD,0.2,34.0
HIP,CS²-GAD,0.2,34.0
HIP,CS²-GAD,0.2,35.0
HIP,CS²-GAD,0.2,35.0
HIP,CS²-GAD,0.2,37.0
HIP,CS²-GAD,0.2,37.0
HIP,CS²-GAD,0.2,39.0
HIP,CS²-GAD,0.2,39.0
HIP,CS²-GAD,0.2,39.0
HIP,CS²-GAD,0.2,40.0
HIP,CS²-GAD,0.2,42.0
HIP,CS²-GAD,0.2,43.0
HIP,CS²-GAD,0.2,49.0
HIP,CS²-GAD,0.2,52.0
HIP,CS²-GAD,0.2,55.0
HIP,CS²-GAD,0.2,60.0
HIP,CS²-GAD,0.2,73.0
HIP,CS²-GAD,0.2,92.0
HIP,CS²-GAD,0.2,110.0
HIP,CS²-GAD,0.2,138.0
HIP,CS²-GAD,0.2,150.0
HIP,CS²-GAD,0.2,183.0
HIP,CS²-GAD,0.2,206.0
HIP,CS²-GAD,0.2,239.0
HIP,CS²-GAD,0.2,264.0
HIP,Plain GAD dt=.003,0.01,72.0
HIP,Plain GAD dt=.003,0.01,77.0
