method,trust_radius,noise_pm,n,n_conv,conv_pct,avg_total_steps,med_total_steps,med_step_conv,p95_step_conv,avg_wall_s,med_wall_s,total_wall_s,wall_per_conv_s,avg_fmax,min_fmax,avg_n_neg,n_used_newton,frac_used_newton
hybrid_damped_eckart_swtrue,0.05,100,287,190,66.2020905923345,396.01742160278746,84.0,49.0,274.14999999999975,24.78165862867641,5.360155344009399,7112.33602643013,37.433347507527,0.18429616701742765,0.0039029518896701604,1.146341463414634,247,0.8606271777003485
hybrid_damped_eckart_swtrue,0.1,100,287,191,66.55052264808363,385.05923344947735,70.0,36.0,271.0,23.71738751840093,4.418999433517456,6806.890217781067,35.63816867948203,0.19364859543856955,0.0022395055868484584,1.1428571428571428,249,0.867595818815331
hybrid_eckart_swfalse,0.005,10,287,131,45.64459930313589,864.4006968641115,1000.0,702.0,954.5,51.50824699335397,58.91264629364014,14782.86688709259,112.84631211521061,0.016019019997358986,0.009179898737224837,1.0209059233449478,0,0.0
hybrid_eckart_swfalse,0.01,10,287,133,46.34146341463415,863.5156794425087,1000.0,702.0,971.0,51.36049439267414,59.06648278236389,14740.46189069748,110.83054053155999,0.016028297061056018,0.009184274216408233,1.0209059233449478,0,0.0
hybrid_eckart_swfalse,0.02,10,287,133,46.34146341463415,863.5156794425087,1000.0,702.0,971.0,51.695849751761564,59.218260049819946,14836.70887875557,111.55420209590653,0.016028240320859286,0.009183557392482033,1.0209059233449478,0,0.0
hybrid_eckart_swfalse,0.05,10,287,133,46.34146341463415,863.5156794425087,1000.0,702.0,971.0,51.256207282534874,58.87819290161133,14710.53149008751,110.60549992547,0.016028229053866548,0.009182976897529204,1.0209059233449478,0,0.0
hybrid_eckart_swfalse,0.1,10,287,133,46.34146341463415,863.5156794425087,1000.0,702.0,971.0,51.013421002165366,58.329208850860596,14640.85182762146,110.08159268888316,0.016028251032244898,0.009183655562837081,1.0209059233449478,0,0.0
hybrid_eckart_swfalse,0.005,100,287,1,0.34843205574912894,999.7108013937283,1000.0,916.0,916.0,60.274262847800706,60.23953938484192,17298.713437318802,17298.713437318802,0.17821857143961242,0.009802846168239452,1.1045296167247387,0,0.0
hybrid_eckart_swfalse,0.01,100,287,1,0.34843205574912894,999.7073170731708,1000.0,915.0,915.0,61.04413217202296,61.043039083480835,17519.66593337059,17519.66593337059,0.16756546122540142,0.009565409556733653,1.1045296167247387,0,0.0
hybrid_eckart_swfalse,0.02,100,287,1,0.34843205574912894,999.7073170731708,1000.0,915.0,915.0,60.4952655644367,60.44276738166809,17362.141216993332,17362.141216993332,0.16943829080494124,0.009398741240515932,1.1010452961672474,0,0.0
hybrid_eckart_swfalse,0.05,100,287,1,0.34843205574912894,999.7073170731708,1000.0,915.0,915.0,59.95631301527655,60.055697202682495,17207.46183538437,17207.46183538437,0.1848465280782796,0.00935721916964651,1.0975609756097562,0,0.0
hybrid_eckart_swfalse,0.1,100,287,1,0.34843205574912894,999.7073170731708,1000.0,915.0,915.0,60.47913332932502,60.63016319274902,17357.51126551628,17357.51126551628,0.18350926916029128,0.009356494781060218,1.0975609756097562,0,0.0
hybrid_eckart_swtrue,0.005,10,287,243,84.66898954703832,179.0,24.0,21.0,66.0,10.627342914455028,1.4390382766723633,3050.047416448593,12.551635458636186,0.010611021644513281,0.0031815481008531355,1.0278745644599303,279,0.9721254355400697
hybrid_eckart_swtrue,0.01,10,287,243,84.66898954703832,168.66898954703834,15.0,12.0,37.0,10.114671551807417,0.8850691318511963,2902.9107353687286,11.946134713451558,0.010454792914524306,0.002303322069498459,1.0278745644599303,279,0.9721254355400697
